name;iso2;iso3;isoN
Австралія ;AU;AUS;36
Австрія ;AT;AUT;40
Азербайджан;AZ;AZE;31
Аландські острови;AX;ALA;248
Албанія;AL;ALB;8
Алжир;DZ;DZA;12
Американське Самоа;AS;ASM;16
Американські Віргінські Острови;VI;VIR;850
Ангілья;AI;AIA;660
Ангола;AO;AGO;24
Андорра;AD;AND;20
Антарктида;AQ;ATA;10
Антигуа і Барбуда;AG;ATG;28
Аргентина;AR;ARG;32
Аруба;AW;ABW;533
Афганістан;AF;AFG;4
Багамські острови ;BS;BHS;44
Бангладеш;BD;BGD;50
Барбадос;BB;BRB;52
Бахрейн;BH;BHR;48
Беліз;BZ;BLZ;84
Бельгія;BE;BEL;56
Бенін;BJ;BEN;204
Бермудські острови ;BM;BMU;60
Білорусь;BY;BLR;112
Болгарія;BG;BGR;100
Болівія;BO;BOL;68
Боснія і Герцеговина;BA;BIH;70
Ботсвана;BW;BWA;72
Бразилія;BR;BRA;76
Британська територія в Індійському Океані;IO;IOT;86
Британські Віргінські Острови;VG;VGB;92
Бруней;BN;BRN;96
Буркіна-Фасо;BF;BFA;854
Бурунді;BI;BDI;108
Бутан;BT;BTN;64
Вануату;VU;VUT;548
Ватикан;VA;VAT;336
Велика Британія;GB;GBR;826
Венесуела ;VE;VEN;862
В’єтнам;VN;VNM;704
Вірменія;AM;ARM;51
Волліс і Футуна;WF;WLF;876
Габон;GA;GAB;266
Гаїті;HT;HTI;332
Гаяна;GY;GUY;328
Гамбія;GM;GMB;270
Гана;GH;GHA;288
Гваделупа;GP;GLP;312
Гватемала;GT;GTM;320
Гвінея;GN;GIN;324
Гвінея-Бісау;GW;GNB;624
Гернсі ;GG;GGY;831
Гондурас;HN;HND;340
Гонконг;HK;HKG;344
Гренада;GD;GRD;308
Греція;GR;GRC;300
Грузія;GE;GEO;268
Гуам;GU;GUM;316
Гібралтар;GI;GIB;292
Гренландія;GL;GRL;304
Данія ;DK;DNK;208
ДР Конго;CD;COD;180
Джерсі;JE;JEY;832
Джибуті;DJ;DJI;262
Домініка;DM;DMA;212
Домініканська Республіка;DO;DOM;214
Зовнішні малі острови США;UM;UMI;581
Еквадор ;EC;ECU;218
Екваторіальна Гвінея ;GQ;GNQ;226
Еритрея;ER;ERI;232
Есватіні;SZ;SWZ;748
Естонія ;EE;EST;233
Ефіопія ;ET;ETH;231
Єгипет ;EG;EGY;818
Ємен;YE;YEM;887
Замбія ;ZM;ZMB;894
Західна Сахара;EH;ESH;732
Зімбабве;ZW;ZWE;716
Ізраїль ;IL;ISR;376
Індія;IN;IND;356
Індонезія;ID;IDN;360
Ірак;IQ;IRQ;368
Іран;IR;IRN;364
Ірландія;IE;IRL;372
Ісландія ;IS;ISL;352
Іспанія;ES;ESP;724
Італія;IT;ITA;380
Йорданія ;JO;JOR;400
Кабо-Верде;CV;CPV;132
Казахстан ;KZ;KAZ;398
Кайманові Острови ;KY;CYM;136
Камбоджа ;KH;KHM;116
Камерун ;CM;CMR;120
Канада;CA;CAN;124
Катар ;QA;QAT;634
Кенія;KE;KEN;404
Киргизстан;KG;KGZ;417
Китайська Народна Республіка;CN;CHN;156
Кіпр;CY;CYP;196
Кірібаті;KI;KIR;296
Кокосові острови;CC;CCK;166
Колумбія;CO;COL;170
Коморські Острови;KM;COM;174
Республіка Конго;CG;COG;178
Коста-Рика;CR;CRI;188
Кот-д’Івуар;CI;CIV;384
Куба;CU;CUB;192
Кувейт ;KW;KWT;414
Кюрасао;CW;CUW;531
Лаос;LA;LAO;418
Латвія;LV;LVA;428
Лесото;LS;LSO;426
Литва;LT;LTU;440
Ліберія;LR;LBR;430
Ліван;LB;LBN;422
Лівія;LY;LBY;434
Ліхтенштейн;LI;LIE;438
Люксембург;LU;LUX;442
Маврикій;MU;MUS;480
Мавританія ;MR;MRT;478
Мадагаскар ;MG;MDG;450
Майотта;YT;MYT;175
Макао;MO;MAC;446
Малаві;MW;MWI;454
Малайзія;MY;MYS;458
Малі;ML;MLI;466
Мальдіви;MV;MDV;462
Мальта;MT;MLT;470
Марокко;MA;MAR;504
Мартиніка;MQ;MTQ;474
Маршаллові Острови;MH;MHL;584
Мексика ;MX;MEX;484
Мозамбік;MZ;MOZ;508
Молдова;MD;MDA;498
Монако;MC;MCO;492
Монголія;MN;MNG;496
Монтсеррат ;MS;MSR;500
М’янма ;MM;MMR;104
Намібія ;NA;NAM;516
Науру;NR;NRU;520
Непал;NP;NPL;524
Нігер;NE;NER;562
Нігерія;NG;NGA;566
Нідерланди;NL;NLD;528
Нідерландські Антильські острови ;AN;ANT;530
Карибські Нідерланди;BQ;BES;535
Нікарагуа;NI;NIC;558
Німеччина;DE;DEU;276
Ніуе;NU;NIU;570
Нова Зеландія ;NZ;NZL;554
Нова Каледонія;NC;NCL;540
Норвегія ;NO;NOR;578
ОАЕ;AE;ARE;784
Оман;OM;OMN;512
Острів Буве;BV;BVT;74
Острів Герд і острови Макдональд;HM;HMD;334
Острови Кука;CK;COK;184
Острів Мен;IM;IMN;833
Острів Норфолк;NF;NFK;574
Острів Різдва;CX;CXR;162
Острови Святої Єлени, Вознесіння та Тристан-да-Кунья;SH;SHN;654
Острови Теркс і Кайкос;TC;TCA;796
Пакистан;PK;PAK;586
Палау;PW;PLW;585
Палестина;PS;PSE;275
Панама;PA;PAN;591
Папуа Нова Гвінея;PG;PNG;598
Парагвай;PY;PRY;600
Перу;PE;PER;604
ПАР;ZA;ZAF;710
Південна Джорджія і Південні Сандвічеві Острови;GS;SGS;239
Південна Корея;KR;KOR;410
Південний Судан;SS;SSD;728
Північна Корея;PRK;PRK;408
Північна Македонія;MK;MKD;807
Північні Маріанські Острови;MP;MNP;580
Піткерн;PN;PCN;612
Польща;PL;POL;616
Португалія;PT;PRT;620
Пуерто-Рико;PR;PRI;630
Реюньйон;RE;REU;638
Росія;RU;RUS;643
Руанда;RW;RWA;646
Румунія;RO;ROU;642
Сальвадор;SV;SLV;222
Самоа;WS;WSM;882
Сан-Марино;SM;SMR;674
Сан-Томе і Принсіпі;ST;STP;678
Саудівська Аравія;SAU;SAU;682
Свальбард і Ян-Маєн;SZ;SWZ;748
Сейшельські Острови;SJ;SJM;744
Сен-Бартелемі;SC;SYC;690
Сенегал;SN;SEN;686
Сен-Мартен;MF;MAF;663
Сен-П’єр і Мікелон;PM;SPM;666
Сент-Вінсент і Гренадини;PM;VCT;670
Сент-Кіттс і Невіс ;KN;KNA;659
Сент-Люсія;LC;LCA;662
Сербія ;RS;SRB;688
Сирія;SY;SYR;760
Сінгапур;SG;SGP;702
Сінт-Мартен;SX;SXM;534
Словаччина;SK;SVK;703
Словенія ;SI;SVN;705
Соломонові Острови;SB;SLB;90
Сомалі;SO;SOM;706
США;US;USA;840
Судан;SD;SDN;729
Суринам;SR;SUR;740
Східний Тимор ;TL;TLS;626
Сьєрра-Леоне;SL;SLE;694
Таджикистан ;TJ;TJK;762
Таїланд;TH;THA;764
Тайвань;TW;TWN;158
Танзанія;TZ;TZA;834
Того;TG;TGO;768
Токелау;TK;TKL;772
Тонга;TO;TON;776
Тринідад і Тобаго;TT;TTO;780
Тувалу;TV;TUV;798
Туніс;TN;TUN;788
Туреччина;TR;TUR;792
Туркменістан;TM;TKM;795
Уганда;UG;UGA;800
Угорщина;HU;HUN;348
Узбекистан;UZ;UZB;860
Україна;UA;UKR;804
Уругвай;UY;URY;858
Фарерські острови;FO;FRO;234
Федеративні Штати Мікронезії;FM;FSM;583
Фіджі;FJ;FJI;242
Філіппіни ;PH;PHL;608
Фінляндія;FI;FIN;246
Фолклендські Острови;FK;FLK;238
Франція;FR;FRA;250
Французька Гвіана;GF;GUF;254
Французька Полінезія;PF;PYF;258
Французькі Південні і Антарктичні Території;TF;ATF;260
Хорватія ;HR;HRV;191
Центральноафриканська Республіка;CF;CAF;140
Чад;TD;TCD;148
Чехія;CZ;CZE;203
Чилі;CL;CHL;152
Чорногорія;ME;MNE;499
Швейцарія;CH;CHE;756
Швеція;SE;SWE;752
Шрі-Ланка;LK;LKA;144
Ямайка;JM;JAM;388
Японія;JP;JPN;392
